date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type
19520507,1952,52005,USA,NTS,DOE,37,-116,0,0,-0.1,12,12,WEAPONS DEVELOPMENT PROGRAM,EASY,TOWER
19520525,1952,52006,USA,NTS,DOE,37,-116,0,0,-0.1,11,11,WEAPONS DEVELOPMENT PROGRAM,FOX,TOWER
19520601,1952,52007,USA,NTS,DOE,37,-116,0,0,-0.1,15,15,WEAPONS DEVELOPMENT PROGRAM,GEORGE,TOWER
19520605,1952,52008,USA,NTS,DOE,37,-116,0,0,-0.1,14,14,WEAPONS DEVELOPMENT PROGRAM,HOW,TOWER
19521003,1952,52009,UK,MONTEB AUSTR,DOE,-20.4,115.57,0,0,-0.001,25,25,BRITISH/FRENCH/US NUCLEAR STUDY,HURRICANE,SHIP
19521031,1952,52010,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,10400,10400,WEAPONS DEVELOPMENT PROGRAM,MIKE,SURFACE
19521115,1952,52011,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.5,500,500,WEAPONS DEVELOPMENT PROGRAM,KING,AIRDROP
19530317,1953,53001,USA,NTS,DOE,37,-116,0,0,-0.1,16,16,WEAPONS DEVELOPMENT PROGRAM,ANNIE,TOWER
19530324,1953,53002,USA,NTS,DOE,37,-116,0,0,-0.1,24,24,WEAPONS DEVELOPMENT PROGRAM,NANCY,TOWER
19530331,1953,53003,USA,NTS,DOE,37,-116,0,0,-0.1,0.2,0.2,WEAPONS DEVELOPMENT PROGRAM,RUTH,TOWER
19530406,1953,53004,USA,NTS,DOE,37,-116,0,0,-2,11,11,WEAPONS DEVELOPMENT PROGRAM,DIXIE,AIRDROP
19530411,1953,53005,USA,NTS,DOE,37,-116,0,0,-0.03,0.2,0.2,WEAPONS DEVELOPMENT PROGRAM,RAY,TOWER
19530418,1953,53006,USA,NTS,DOE,37,-116,0,0,-0.1,23,23,WEAPONS DEVELOPMENT PROGRAM,BADGER,TOWER
19530425,1953,53007,USA,NTS,DOE,37,-116,0,0,-0.1,43,43,WEAPONS DEVELOPMENT PROGRAM,SIMON,TOWER
19530508,1953,53008,USA,NTS,DOE,37,-116,0,0,-0.8,27,27,BRITISH/FRENCH/US NUCLEAR STUDY,ENCORE,AIRDROP
19530519,1953,53009,USA,NTS,DOE,37,-116,0,0,-0.1,32,32,WEAPONS DEVELOPMENT PROGRAM,HARRY,TOWER
19530525,1953,53010,USA,NTS,DOE,37,-116,0,0,-0.2,15,15,WEAPONS DEVELOPMENT PROGRAM,GRABLE,ATMOSPHERE
19530604,1953,53011,USA,NTS,DOE,37,-116,0,0,-0.4,61,61,WEAPONS DEVELOPMENT PROGRAM,CLIMAX,AIRDROP
19530812,1953,53012,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,400,400,WEAPONS DEVELOPMENT PROGRAM,NA,SURFACE
19530823,1953,53013,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,28,28,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19530903,1953,53014,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,5.8,5.8,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19530908,1953,53015,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.6,1.6,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19530910,1953,53016,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,4.9,4.9,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19531014,1953,53017,UK,EMU AUSTR,DOE,-28.7,132.35,0,0,0,10,10,WEAPONS DEVELOPMENT PROGRAM,TOTEM:1,TOWER
19531026,1953,53018,UK,EMU AUSTR,DOE,-28.7,132.35,0,0,0,8,8,WEAPONS DEVELOPMENT PROGRAM,TOTEM:2,TOWER
19540228,1954,54001,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,15000,15000,WEAPONS DEVELOPMENT PROGRAM,BRAVO,SURFACE
19540326,1954,54002,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,11000,11000,WEAPONS DEVELOPMENT PROGRAM,ROMEO,BARGE
19540406,1954,54003,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,110,110,WEAPONS DEVELOPMENT PROGRAM,KOON,SURFACE
19540425,1954,54004,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,6900,6900,WEAPONS DEVELOPMENT PROGRAM,UNION,BARGE
19540504,1954,54005,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,13500,13500,WEAPONS DEVELOPMENT PROGRAM,YANKEE,BARGE
19540513,1954,54006,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,1690,1690,WEAPONS DEVELOPMENT PROGRAM,NECTAR,BARGE
19540914,1954,54007,USSR,ORENBG RUSS,DOE,52,55,0,0,0,40,40,MILITARY EXERCISE,NA,ATMOSPHERE
19540929,1954,54008,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.2,0.2,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19541001,1954,54009,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.03,0.03,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19541003,1954,54010,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,2,2,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19541005,1954,54011,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,4,4,WEAPONS DEVELOPMENT PROGRAM,NA,SURFACE
19541008,1954,54012,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.8,0.8,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19541019,1954,54013,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0,0.001,WEAPONS DEVELOPMENT PROGRAM,NA,SURFACE
19541023,1954,54014,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,62,62,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19541026,1954,54015,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,2.8,2.8,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19541030,1954,54016,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,10,10,WEAPONS DEVELOPMENT PROGRAM,NA,SURFACE
19550218,1955,55001,USA,NTS,DOE,37,-116,0,0,-0.25,1,1,BRITISH/FRENCH/US NUCLEAR STUDY,WASP,AIRDROP
19550222,1955,55002,USA,NTS,DOE,37,-116,0,0,-0.1,2,2,WEAPONS DEVELOPMENT PROGRAM,MOTH,TOWER
19550301,1955,55003,USA,NTS,DOE,37,-116,0,0,-0.1,7,7,WEAPONS DEVELOPMENT PROGRAM,TESLA,TOWER
19550307,1955,55004,USA,NTS,DOE,37,-116,0,0,-0.2,43,43,WEAPONS DEVELOPMENT PROGRAM,TURK,TOWER
19550312,1955,55005,USA,NTS,DOE,37,-116,0,0,-0.1,4,4,WEAPONS DEVELOPMENT PROGRAM,HORNET,TOWER
19550322,1955,55006,USA,NTS,DOE,37,-116,0,0,-0.2,8,8,WEAPONS DEVELOPMENT PROGRAM,BEE,TOWER
19550323,1955,55007,USA,NTS,DOE,37,-116,0,0,0.02,1,1,BRITISH/FRENCH/US NUCLEAR STUDY,ESS,CRATER
19550329,1955,55008,USA,NTS,DOE,37,-116,0,0,-0.2,14,14,WEAPONS DEVELOPMENT PROGRAM,APPLE :1,TOWER
19550329,1955,55009,USA,NTS,DOE,37,-116,0,0,-0.25,3,3,WEAPONS DEVELOPMENT PROGRAM,WASP PRIME,AIRDROP
19550406,1955,55010,USA,NTS,DOE,37,-116,0,0,-12,3,3,BRITISH/FRENCH/US NUCLEAR STUDY,HA,AIRDROP
19550409,1955,55011,USA,NTS,DOE,37,-116,0,0,-0.1,2,2,WEAPONS DEVELOPMENT PROGRAM,POST,TOWER
19550415,1955,55012,USA,NTS,DOE,37,-116,0,0,-0.001,22,22,BRITISH/FRENCH/US NUCLEAR STUDY,MET,TOWER
19550505,1955,55013,USA,NTS,DOE,37,-116,0,0,-0.2,29,29,WEAPONS DEVELOPMENT PROGRAM,APPLE:2,TOWER
19550514,1955,55014,USA,OFFUSWCOAST,DOE,29,-126,0,0,0,30,30,BRITISH/FRENCH/US NUCLEAR STUDY,WIGWAM,UNDERWATER
19550515,1955,55015,USA,NTS,DOE,37,-116,0,0,-0.2,28,28,WEAPONS DEVELOPMENT PROGRAM,ZUCCHINI,TOWER
19550729,1955,55016,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.3,1.3,WEAPONS DEVELOPMENT PROGRAM,NA,SURFACE
19550802,1955,55017,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,12,12,WEAPONS DEVELOPMENT PROGRAM,NA,SURFACE
19550805,1955,55018,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.2,1.2,WEAPONS DEVELOPMENT PROGRAM,NA,SURFACE
19550921,1955,55019,USSR,NZ RUSS,DOE,73,55,0,0,0,3.5,3.5,BRITISH/FRENCH/US NUCLEAR STUDY,NA,UNDERWATER
19551101,1955,55022,USA,NTS,DOE,37,-116,0,0,0,0,0,US/FRANCE NUCLEAR SAFETY TESTING,PROJECT 56:1,SURFACE
19551103,1955,55023,USA,NTS,DOE,37,-116,0,0,0,0,0,US/FRANCE NUCLEAR SAFETY TESTING,PROJECT 56:2,SURFACE
19551105,1955,55024,USA,NTS,DOE,37,-116,0,0,0,0,0,US/FRANCE NUCLEAR SAFETY TESTING,PROJECT 56:3,SURFACE
19551106,1955,55020,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,250,250,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19551122,1955,55021,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,1600,1600,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19560118,1956,56001,USA,NTS,DOE,37,-116,0,0,-0.001,0,20,US/FRANCE NUCLEAR SAFETY TESTING,PROJECT 56:4,SURFACE
19560202,1956,56002,USSR,KAZAKH,MTM,46,61,0,0,0,0.3,0.3,BRITISH/FRENCH/US NUCLEAR STUDY,NA,SURFACE
19560316,1956,56003,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,14,14,WEAPONS DEVELOPMENT PROGRAM,NA,SURFACE
19560325,1956,56004,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,5.5,5.5,WEAPONS DEVELOPMENT PROGRAM,NA,SURFACE
19560504,1956,56005,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,40,40,WEAPONS DEVELOPMENT PROGRAM,LACROSSE,SURFACE
19560516,1956,56006,UK,MONTEB AUSTR,DOE,-20.23,115.55,0,0,0,15,15,WEAPONS DEVELOPMENT PROGRAM,MOSAIC:Gl,TOWER
19560520,1956,56007,USA,BIKINI,DOE,11.35,165.2,0,0,-1.5,3800,3800,WEAPONS DEVELOPMENT PROGRAM,CHEROKEE,AIRDROP
19560527,1956,56008,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,3500,3500,WEAPONS DEVELOPMENT PROGRAM,ZUNI,SURFACE
19560527,1956,56009,USA,ENEWETAK,DOE,11.3,162.15,0,0,0,0.19,0.19,WEAPONS DEVELOPMENT PROGRAM,YUMA,TOWER
19560530,1956,56010,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.1,14.9,14.9,WEAPONS DEVELOPMENT PROGRAM,ERIE,TOWER
19560606,1956,56011,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,13.7,13.7,WEAPONS DEVELOPMENT PROGRAM,SEMINOLE,SURFACE
19560611,1956,56012,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,365,365,WEAPONS DEVELOPMENT PROGRAM,FLATHEAD,BARGE
19560611,1956,56013,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.1,8,8,WEAPONS DEVELOPMENT PROGRAM,BLACKFOOT,TOWER
19560613,1956,56014,USA,ENEWETAK,DOE,11.3,162.15,0,0,0,1.49,1.49,WEAPONS DEVELOPMENT PROGRAM,KICKAPOO,TOWER
19560616,1956,56015,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.2,1.7,1.7,WEAPONS DEVELOPMENT PROGRAM,OSAGE,AIRDROP
19560619,1956,56016,UK,MONTEB AUSTR,DOE,-20.4,115.53,0,0,0,60,60,WEAPONS DEVELOPMENT PROGRAM,MOSAIC:G2,TOWER
19560621,1956,56017,USA,ENEWETAK,DOE,11.3,162.15,0,0,0,15.2,15.2,WEAPONS DEVELOPMENT PROGRAM,INCA,TOWER
19560625,1956,56018,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,1100,1100,WEAPONS DEVELOPMENT PROGRAM,DAKOTA,BARGE
19560702,1956,56019,USA,ENEWETAK,DOE,11.3,162.15,0,0,0,360,360,WEAPONS DEVELOPMENT PROGRAM,MOHAWK,TOWER
19560708,1956,56020,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,1850,1850,WEAPONS DEVELOPMENT PROGRAM,APACHE,BARGE
19560710,1956,56021,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,4500,4500,WEAPONS DEVELOPMENT PROGRAM,NAVAJO,BARGE
19560720,1956,56022,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,5000,5000,WEAPONS DEVELOPMENT PROGRAM,TEWA,BARGE
19560721,1956,56023,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,250,250,WEAPONS DEVELOPMENT PROGRAM,HURON,BARGE
19560824,1956,56024,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,27,27,WEAPONS DEVELOPMENT PROGRAM,NA,SURFACE
19560830,1956,56025,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,900,900,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19560902,1956,56026,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,51,51,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19560910,1956,56027,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,38,38,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19560927,1956,56028,UK,MARALI AUSTR,DOE,-30,131,0,0,0,15,15,WEAPONS DEVELOPMENT PROGRAM,BUFFALO: Rl,TOWER
19561004,1956,56029,UK,MARALI AUSTR,DOE,-30,131,0,0,-0.001,1.5,1.5,BRITISH/FRENCH/US NUCLEAR STUDY,BUFFALO:R2,SURFACE
19561011,1956,56030,UK,MARALI AUSTR,DOE,-30,131,0,0,0,3,3,WEAPONS DEVELOPMENT PROGRAM,BUFFALO: R3,AIRDROP
19561022,1956,56031,UK,MARALI AUSTR,DOE,-30,131,0,0,0,10,10,WEAPONS DEVELOPMENT PROGRAM,BUFFALO:R4,TOWER
19561117,1956,56032,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,900,900,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19561214,1956,56033,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,40,40,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19570119,1957,57001,USSR,MTR RUSS,DOE,48,46,0,0,0,10,10,BRITISH/FRENCH/US NUCLEAR STUDY,NA,ATMOSPHERE
19570308,1957,57002,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,19,19,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19570403,1957,57003,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,42,42,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19570406,1957,57004,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,57,57,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19570410,1957,57005,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,680,680,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19570412,1957,57006,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,22,22,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19570416,1957,57007,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,320,320,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19570424,1957,57053,USA,MELLIS NV,DOE,37,-115,0,0,0,0,0,US/FRANCE NUCLEAR SAFETY TESTING,PROJECT 57:1,SURFACE
19570515,1957,57008,UK,MALDEN IS,DOE,-4,-155,0,0,0,300,300,WEAPONS DEVELOPMENT PROGRAM,GRAPPLE:1,AIRDROP
19570528,1957,57009,USA,NTS,DOE,37,-116,0,0,-0.2,12,12,WEAPONS DEVELOPMENT PROGRAM,BOLTZMANN,TOWER
19570531,1957,57010,UK,MALDEN IS,DOE,-4,-155,0,0,0,720,720,WEAPONS DEVELOPMENT PROGRAM,GRAPPLE:2,AIRDROP
19570602,1957,57011,USA,NTS,DOE,37,-116,0,0,-0.1,0.14,0.14,WEAPONS DEVELOPMENT PROGRAM,FRANKLIN,TOWER
19570605,1957,57012,USA,NTS,DOE,37,-116,0,0,-0.2,5.00E-04,5.00E-04,WEAPONS DEVELOPMENT PROGRAM,LASSEN,BALLOON
19570618,1957,57013,USA,NTS,DOE,37,-116,0,0,-0.2,10,10,WEAPONS DEVELOPMENT PROGRAM,WILSON,BALLOON
19570619,1957,57014,UK,MALDEN IS,DOE,-4,-155,0,0,0,200,200,WEAPONS DEVELOPMENT PROGRAM,GRAPPLE:3,AIRDROP
19570624,1957,57015,USA,NTS,DOE,37,-116,0,0,-0.2,37,37,WEAPONS DEVELOPMENT PROGRAM,PRISCILLA,BALLOON
19570701,1957,57054,USA,NTS,DOE,37,-116,0,0,0,0,0,US/FRANCE NUCLEAR SAFETY TESTING,COULOMB-A,SURFACE
19570705,1957,57016,USA,NTS,DOE,37,-116,0,0,-0.5,74,74,WEAPONS DEVELOPMENT PROGRAM,HOOD,BALLOON
19570715,1957,57017,USA,NTS,DOE,37,-116,0,0,-0.2,17,17,WEAPONS DEVELOPMENT PROGRAM,DIABLO,TOWER
19570719,1957,57018,USA,NTS,DOE,37,-116,0,0,-6.8,2,2,BRITISH/FRENCH/US NUCLEAR STUDY,JOHN,ROCKET
19570724,1957,57019,USA,NTS,DOE,37,-116,0,0,-0.2,10,10,WEAPONS DEVELOPMENT PROGRAM,KEPLER,TOWER
19570725,1957,57020,USA,NTS,DOE,37,-116,0,0,-0.2,9.7,9.7,WEAPONS DEVELOPMENT PROGRAM,OWENS,BALLOON
19570726,1957,57021,USA,NTS,DOE,37,-116,0,0,0,0,0,US/FRANCE NUCLEAR SAFETY TESTING,PASCAL-A,SHAFT
19570807,1957,57022,USA,NTS,DOE,37,-116,0,0,-0.5,19,19,WEAPONS DEVELOPMENT PROGRAM,STOKES,BALLOON
19570810,1957,57055,USA,NTS,DOE,37,-116,0,0,0,0,0,US/FRANCE NUCLEAR SAFETY TESTING,SATURN,TUNNEL
19570818,1957,57023,USA,NTS,DOE,37,-116,0,0,-0.2,17,17,WEAPONS DEVELOPMENT PROGRAM,SHASTA,TOWER
19570822,1957,57024,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,520,520,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19570823,1957,57025,USA,NTS,DOE,37,-116,0,0,-0.5,11,11,WEAPONS DEVELOPMENT PROGRAM,DOPPLER,BALLOON
19570826,1957,57026,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.1,0.1,US/FRANCE NUCLEAR SAFETY TESTING,NA,ATMOSPHERE
19570827,1957,57027,USA,NTS,DOE,37,-116,0,0,0,0,0,US/FRANCE NUCLEAR SAFETY TESTING,PASCAL-B,SHAFT
19570830,1957,57028,USA,NTS,DOE,37,-116,0,0,-0.25,4.7,4.7,WEAPONS DEVELOPMENT PROGRAM,FRANKLIN PRIME,BALLOON
19570831,1957,57029,USA,NTS,DOE,37,-116,0,0,-0.25,44,44,WEAPONS DEVELOPMENT PROGRAM,SMOKY,TOWER
19570902,1957,57030,USA,NTS,DOE,37,-116,0,0,-0.2,11,11,WEAPONS DEVELOPMENT PROGRAM,GALILEO,TOWER
19570906,1957,57031,USA,NTS,DOE,37,-116,0,0,-0.2,0.2,0.2,WEAPONS DEVELOPMENT PROGRAM,WHEELER,BALLOON
19570906,1957,57032,USA,NTS,DOE,37,-116,0,0,-0.001,0.3,0.3,US/FRANCE NUCLEAR SAFETY TESTING,COULOMB-B,SURFACE
19570907,1957,57034,USSR,N2 RUSS,DOE,73,55,0,0,0,32,32,SOVIET NUCLEAR STUDY,NA,SURFACE
19570908,1957,57033,USA,NTS,DOE,37,-116,0,0,-0.25,1,1,WEAPONS DEVELOPMENT PROGRAM,LAPLACE,BALLOON
19570913,1957,57035,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,5.9,5.9,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19570914,1957,57036,UK,MARALI AUSTR,DOE,-30,131,0,0,0,1,1,WEAPONS DEVELOPMENT PROGRAM,ANTLER:1,TOWER
19570914,1957,57037,USA,NTS,DOE,37,-116,0,0,-0.2,11,11,WEAPONS DEVELOPMENT PROGRAM,FIZEAU,TOWER
19570916,1957,57038,USA,NTS,DOE,37,-116,0,0,-0.5,12,12,WEAPONS DEVELOPMENT PROGRAM,NEWTON,BALLOON
19570919,1957,57039,USA,NTS,DOE,37,-116,4.1,0,0.3,1.7,1.7,WEAPONS DEVELOPMENT PROGRAM,RAINIER,TUNNEL
19570923,1957,57040,USA,NTS,DOE,37,-116,0,0,-0.2,19,19,WEAPONS DEVELOPMENT PROGRAM,WHITNEY,TOWER
19570924,1957,57041,USSR,NZ RUSS,DOE,73,55,0,0,0,1600,1600,WEAPONS DEVELOPMENT PROGRAM,NA,AIRDROP
19570925,1957,57042,UK,MARALI AUSTR,DOE,-30,131,0,0,0,6,6,WEAPONS DEVELOPMENT PROGRAM,ANTLER:2,TOWER
19570926,1957,57043,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,13,13,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19570928,1957,57044,USA,NTS,DOE,37,-116,0,0,-0.5,12,12,WEAPONS DEVELOPMENT PROGRAM,CHARLESTON,BALLOON
19571006,1957,57045,USSR,NZ RUSS,DOE,73,55,0,0,0,2900,2900,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19571007,1957,57046,USA,NTS,DOE,37,-116,0,0,-0.2,8,8,WEAPONS DEVELOPMENT PROGRAM,MORGAN,BALLOON
19571009,1957,57047,UK,MARALI AUSTR,DOE,-30,131,0,0,0,25,25,WEAPONS DEVELOPMENT PROGRAM,ANTLER:3,BALLOON
19571010,1957,57048,USSR,NZ RUSS,DOE,73,55,0,0,0,10,10,BRITISH/FRENCH/US NUCLEAR STUDY,NA,UNDERWATER
19571108,1957,57049,UK,CHRISTMAS IS,DOE,2,-157,0,0,0,1800,1800,WEAPONS DEVELOPMENT PROGRAM,GRAPPLE X,AIRDROP
